id,clasificacion,puntuacion,razon_principal
PROC00001,Manual,0,Proceso estándar
PROC00002,Manual,0,Proceso estándar
PROC00003,Manual,0,Proceso estándar
PROC00004,Manual,0,Proceso estándar
PROC00005,Manual,0,Proceso estándar
PROC00006,Manual,0,Proceso estándar
PROC00007,Manual,0,Proceso estándar
PROC00008,Manual,0,Proceso estándar
PROC00009,Manual,0,Proceso estándar
PROC00010,Manual,0,Proceso estándar
PROC00011,Manual,0,Proceso estándar
PROC00012,Revisión,2,Múltiples errores (2)
PROC00013,Manual,0,Proceso estándar
PROC00014,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00015,Manual,0,Proceso estándar
PROC00016,Manual,0,Proceso estándar
PROC00017,Manual,0,Proceso estándar
PROC00018,Manual,0,Proceso estándar
PROC00019,Manual,0,Proceso estándar
PROC00020,Manual,0,Proceso estándar
PROC00021,Manual,0,Proceso estándar
PROC00022,Manual,0,Proceso estándar
PROC00023,Manual,0,Proceso estándar
PROC00024,Manual,0,Proceso estándar
PROC00025,Manual,0,Proceso estándar
PROC00026,Manual,0,Proceso estándar
PROC00027,Manual,0,Proceso estándar
PROC00028,Manual,1,Prioridad Urgente
PROC00029,Revisión,2,Múltiples errores (2)
PROC00030,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00031,Manual,0,Proceso estándar
PROC00032,Manual,0,Proceso estándar
PROC00033,Manual,0,Proceso estándar
PROC00034,Manual,0,Proceso estándar
PROC00035,Manual,0,Proceso estándar
PROC00036,Manual,0,Proceso estándar
PROC00037,Manual,0,Proceso estándar
PROC00038,Manual,0,Proceso estándar
PROC00039,Revisión,2,Múltiples errores (2)
PROC00040,Revisión,2,Múltiples errores (2)
PROC00041,Manual,0,Proceso estándar
PROC00042,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00043,Manual,1,Prioridad Urgente
PROC00044,Manual,0,Proceso estándar
PROC00045,Manual,0,Proceso estándar
PROC00046,Manual,0,Proceso estándar
PROC00047,Manual,0,Proceso estándar
PROC00048,Manual,0,Proceso estándar
PROC00049,Revisión,2,Múltiples errores (2)
PROC00050,Manual,1,Prioridad Urgente
PROC00051,Manual,0,Proceso estándar
PROC00052,Revisión,2,Múltiples errores (2)
PROC00053,Manual,0,Proceso estándar
PROC00054,Manual,0,Proceso estándar
PROC00055,Manual,0,Proceso estándar
PROC00056,Manual,1,Prioridad Urgente
PROC00057,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00058,Manual,0,Proceso estándar
PROC00059,Manual,0,Proceso estándar
PROC00060,Manual,0,Proceso estándar
PROC00061,Manual,0,Proceso estándar
PROC00062,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00063,Manual,0,Proceso estándar
PROC00064,Manual,0,Proceso estándar
PROC00065,Manual,0,Proceso estándar
PROC00066,Manual,0,Proceso estándar
PROC00067,Manual,0,Proceso estándar
PROC00068,Manual,0,Proceso estándar
PROC00069,Manual,0,Proceso estándar
PROC00070,Manual,0,Proceso estándar
PROC00071,Manual,0,Proceso estándar
PROC00072,Manual,0,Proceso estándar
PROC00073,Manual,0,Proceso estándar
PROC00074,Manual,0,Proceso estándar
PROC00075,Revisión,2,Múltiples errores (3)
PROC00076,Manual,0,Proceso estándar
PROC00077,Manual,0,Proceso estándar
PROC00078,Manual,0,Proceso estándar
PROC00079,Revisión,2,Múltiples errores (2)
PROC00080,Manual,0,Proceso estándar
PROC00081,Manual,0,Proceso estándar
PROC00082,Manual,0,Proceso estándar
PROC00083,Manual,1,Prioridad Urgente
PROC00084,Manual,0,Proceso estándar
PROC00085,Manual,0,Proceso estándar
PROC00086,Manual,0,Proceso estándar
PROC00087,Automático,3,"Proceso rápido, sin errores, bajo costo, canal automatizable"
PROC00088,Manual,0,Proceso estándar
PROC00089,Revisión,2,Múltiples errores (2)
PROC00090,Manual,0,Proceso estándar
PROC00091,Manual,0,Proceso estándar
PROC00092,Manual,0,Proceso estándar
