id,fecha,tipo_proceso,canal,tiempo_ciclo,costo,errores,prioridad,responsable,etiqueta_clase,tipo_proceso_encoded,canal_encoded,prioridad_encoded,responsable_encoded,tiempo_ciclo_norm,costo_norm,errores_norm,mes,dia_semana,trimestre,costo_por_error,tiempo_vs_mediana
PROC00001,2024-01-06 01:10:00,Facturación,Email,32.6,107.6,0,Baja,Juan,Manual,0,1,1,2,0.07187983953672208,0.10036582627410547,-0.7128235214731489,1,5,1,0.0,1.516279069767442
PROC00002,2024-01-01 14:20:00,Pagos,API,13.9,185.2,0,Baja,María,Manual,3,0,1,3,-0.5495328810242907,1.2013817015537425,-0.7128235214731489,1,0,1,0.0,0.6465116279069768
PROC00003,2024-01-04 17:50:00,Inventario,Manual,31.2,135.73,0,Media,María,Manual,1,2,2,3,0.025356962061565978,0.4994840810629739,-0.7128235214731489,1,3,1,0.0,1.4511627906976743
PROC00004,2024-01-04 14:31:00,Soporte,Email,13.2,24.82,0,Baja,Juan,Manual,4,1,1,2,-0.5727943197618688,-1.0741456963502292,-0.7128235214731489,1,3,1,0.0,0.613953488372093
PROC00005,2024-01-04 23:34:00,Logística,API,33.6,157.68,0,Alta,Ana,Manual,2,0,0,0,0.10511046630469068,0.8109183395989024,-0.7128235214731489,1,3,1,0.0,1.5627906976744186
PROC00006,2024-01-05 08:25:00,Inventario,Sistema,39.2,18.76,0,Media,Juan,Manual,1,3,2,2,0.29120197620531485,-1.16012709073418,-0.7128235214731489,1,4,1,0.0,1.8232558139534885
PROC00007,2024-01-01 07:46:00,Inventario,API,35.2,128.48,0,Baja,Carlos,Manual,1,0,1,1,0.1582794691334405,0.39661855147821395,-0.7128235214731489,1,0,1,0.0,1.6372093023255816
PROC00008,2024-01-04 01:46:00,Soporte,API,3.6,270.56,0,Baja,Ana,Manual,4,0,1,0,-0.8918083367343672,2.4124991643613436,-0.7128235214731489,1,3,1,0.0,0.16744186046511628
PROC00009,2024-01-04 20:58:00,Facturación,Manual,32.1,129.27,0,Alta,María,Manual,0,2,0,3,0.05526452615273779,0.407827347115726,-0.7128235214731489,1,3,1,0.0,1.4930232558139536
PROC00010,2024-01-06 18:42:00,Facturación,Sistema,9.9,63.83,1,Alta,Juan,Manual,0,3,0,2,-0.682455388096165,-0.5206582054396794,0.7116839155235517,1,5,1,63.83,0.4604651162790698
PROC00011,2024-01-02 04:05:00,Facturación,Web,0.9,264.43,1,Baja,Ana,Manual,0,4,1,0,-0.9815310290078825,2.3255245855538154,0.7116839155235517,1,1,1,264.43,0.04186046511627907
PROC00012,2024-01-01 12:49:00,Facturación,Manual,16.1,96.37,2,Alta,Carlos,Manual,0,2,0,1,-0.47642550213475976,-0.05896933196546043,2.1361913525202523,1,0,1,48.185,0.7488372093023257
PROC00013,2024-01-05 19:49:00,Inventario,API,17.1,36.45,1,Media,Pedro,Manual,1,0,2,4,-0.44319487536679114,-0.9091351985473658,0.7116839155235517,1,4,1,36.45,0.7953488372093024
PROC00014,2024-01-02 16:33:00,Inventario,Web,18.9,49.03,0,Media,María,Automático,1,4,2,3,-0.3833797471844478,-0.7306457692816721,-0.7128235214731489,1,1,1,0.0,0.8790697674418604
PROC00015,2024-01-04 16:31:00,Inventario,Manual,36.6,47.66,0,Alta,Ana,Manual,1,2,0,0,0.20480234660859647,-0.7500838072859647,-0.7128235214731489,1,3,1,0.0,1.7023255813953488
PROC00016,2024-01-04 12:11:00,Facturación,API,11.1,305.49,0,Baja,Sofia,Manual,0,0,1,5,-0.6425786359746029,2.9080981917262627,-0.7128235214731489,1,3,1,0.0,0.5162790697674419
PROC00017,2024-01-05 11:00:00,Inventario,Manual,11.4,127.73,0,Media,Ana,Manual,1,2,2,0,-0.6326094479442121,0.3859772897970321,-0.7128235214731489,1,4,1,0.0,0.5302325581395348
PROC00018,2024-01-01 19:44:00,Pagos,Web,1.9,130.98,0,Baja,Sofia,Manual,3,4,1,5,-0.948300402239914,0.4320894237488208,-0.7128235214731489,1,0,1,0.0,0.08837209302325581
PROC00019,2024-01-04 03:55:00,Inventario,API,34.8,116.01,0,Baja,Ana,Manual,1,0,1,0,0.14498721842625287,0.21968984059242713,-0.7128235214731489,1,3,1,0.0,1.6186046511627905
PROC00020,2024-01-03 08:25:00,Inventario,API,25.2,101.75,0,Baja,Juan,Manual,1,0,1,2,-0.1740267985462456,0.017363985160885484,-0.7128235214731489,1,2,1,0.0,1.172093023255814
PROC00021,2024-01-05 10:36:00,Pagos,API,12.9,56.63,0,Baja,María,Manual,3,0,1,3,-0.5827635077922593,-0.6228143175790272,-0.7128235214731489,1,4,1,0.0,0.6
PROC00022,2024-01-07 00:26:00,Facturación,Web,36.6,29.07,1,Media,María,Manual,0,4,2,3,0.20480234660859647,-1.0138452134901974,0.7116839155235517,1,6,1,29.07,1.7023255813953488
PROC00023,2024-01-07 10:34:00,Facturación,Sistema,23.1,108.7,0,Baja,Juan,Manual,0,3,1,2,-0.24381111475897957,0.11597301007317261,-0.7128235214731489,1,6,1,0.0,1.0744186046511628
PROC00024,2024-01-02 18:38:00,Logística,API,19.0,259.19,0,Media,Juan,Manual,2,0,2,2,-0.3800566845076509,2.2511776372746235,-0.7128235214731489,1,1,1,0.0,0.8837209302325582
PROC00025,2024-01-06 10:49:00,Soporte,Manual,21.5,104.68,0,Media,Sofia,Manual,4,2,2,5,-0.2969801175877294,0.05893584746203683,-0.7128235214731489,1,5,1,0.0,1.0
PROC00026,2024-01-02 10:07:00,Inventario,API,30.3,198.11,1,Alta,Sofia,Manual,1,0,0,5,-0.00455060202960571,1.3845532859591567,0.7116839155235517,1,1,1,198.11,1.4093023255813955
PROC00027,2024-01-02 21:47:00,Facturación,API,32.4,14.25,1,Media,Sofia,Manual,0,0,2,5,0.06523371418312827,-1.2241165443103548,0.7116839155235517,1,1,1,14.25,1.5069767441860464
PROC00028,2024-01-07 08:47:00,Pagos,API,10.2,105.08,0,Urgente,Juan,Manual,3,0,3,2,-0.6724862000657745,0.0646111870253338,-0.7128235214731489,1,6,1,0.0,0.47441860465116276
PROC00029,2024-01-07 22:38:00,Inventario,API,4.6,53.66,2,Baja,Carlos,Manual,1,0,1,1,-0.8585777099663987,-0.6649537138365083,2.1361913525202523,1,6,1,26.83,0.21395348837209302
PROC00030,2024-01-01 03:09:00,Logística,API,5.1,34.72,0,Media,Ana,Automático,2,0,2,0,-0.8419623965824145,-0.9336810421586258,-0.7128235214731489,1,0,1,0.0,0.23720930232558138
PROC00031,2024-01-02 21:34:00,Facturación,API,30.6,223.46,1,Baja,Carlos,Manual,0,0,1,1,0.0054185860007848925,1.7442279307831103,0.7116839155235517,1,1,1,223.46,1.4232558139534885
PROC00032,2024-01-03 02:05:00,Facturación,API,61.9,59.64,0,Media,María,Manual,0,0,2,3,1.0455372038382018,-0.5801073873652166,-0.7128235214731489,1,2,1,0.0,2.8790697674418606
PROC00033,2024-01-04 05:38:00,Inventario,Web,15.8,127.54,0,Baja,Juan,Manual,1,4,1,2,-0.48639469016515036,0.383281503504466,-0.7128235214731489,1,3,1,0.0,0.7348837209302326
PROC00034,2024-01-02 07:39:00,Pagos,API,5.6,76.9,0,Media,Ana,Manual,3,0,2,0,-0.8253470831984301,-0.3352164852089467,-0.7128235214731489,1,1,1,0.0,0.26046511627906976
PROC00035,2024-01-06 08:54:00,Facturación,Web,42.4,24.74,1,Baja,Sofia,Manual,0,4,1,5,0.39753998186281425,-1.0752807642628885,0.7116839155235517,1,5,1,24.74,1.9720930232558138
PROC00036,2024-01-01 21:07:00,Facturación,Web,53.6,140.33,1,Baja,Pedro,Manual,0,4,1,4,0.7697230016640626,0.5647504860408908,0.7116839155235517,1,0,1,140.33,2.4930232558139536
PROC00037,2024-01-02 01:28:00,Pagos,Email,63.8,63.18,0,Media,Ana,Manual,3,1,2,0,1.108675394697342,-0.5298806322300372,-0.7128235214731489,1,1,1,0.0,2.967441860465116
PROC00038,2024-01-03 11:16:00,Logística,API,28.0,155.3,1,Alta,Pedro,Manual,2,0,0,4,-0.0809810435959335,0.7771500691972847,0.7116839155235517,1,2,1,155.3,1.302325581395349
PROC00039,2024-01-03 16:50:00,Soporte,Manual,59.1,40.03,2,Baja,Ana,Manual,4,2,1,0,0.9524914488878898,-0.8583409094558568,2.1361913525202523,1,2,1,20.015,2.7488372093023257
PROC00040,2024-01-07 03:18:00,Inventario,API,0.5,54.5,2,Alta,Juan,Manual,1,0,0,2,-0.9948232797150699,-0.6530355007535843,2.1361913525202523,1,6,1,27.25,0.023255813953488372
PROC00041,2024-01-04 17:53:00,Pagos,Email,3.4,124.16,0,Baja,Pedro,Manual,3,1,1,4,-0.898454462087961,0.3353248841946054,-0.7128235214731489,1,3,1,0.0,0.15813953488372093
PROC00042,2024-01-07 02:32:00,Facturación,API,2.9,42.97,0,Media,Pedro,Automático,0,0,2,4,-0.9150697754719453,-0.8166271636656232,-0.7128235214731489,1,6,1,0.0,0.13488372093023254
PROC00043,2024-01-06 20:33:00,Pagos,Manual,37.4,138.7,0,Urgente,María,Manual,3,2,3,3,0.23138684802297124,0.5416234773204548,-0.7128235214731489,1,5,1,0.0,1.7395348837209301
PROC00044,2024-01-06 05:13:00,Pagos,API,2.2,11.15,1,Baja,Ana,Manual,3,0,1,0,-0.9383312142095234,-1.2681004259259072,0.7116839155235517,1,5,1,11.15,0.10232558139534885
PROC00045,2024-01-02 19:32:00,Inventario,Sistema,20.6,29.48,1,Media,Carlos,Manual,1,3,2,1,-0.3268876816789011,-1.0080279904378178,0.7116839155235517,1,1,1,29.48,0.958139534883721
PROC00046,2024-01-05 21:21:00,Pagos,Manual,19.2,88.63,0,Baja,Sofia,Manual,3,2,1,5,-0.3734105591540572,-0.16878715251525941,-0.7128235214731489,1,4,1,0.0,0.8930232558139535
PROC00047,2024-01-07 15:15:00,Facturación,Email,11.2,131.16,1,Baja,Carlos,Manual,0,1,1,1,-0.6392555732978059,0.4346433265523046,0.7116839155235517,1,6,1,131.16,0.5209302325581395
PROC00048,2024-01-05 07:55:00,Facturación,Web,61.3,91.73,0,Alta,María,Manual,0,4,0,3,1.0255988277774206,-0.12480327089970678,-0.7128235214731489,1,4,1,0.0,2.8511627906976744
PROC00049,2024-01-04 19:26:00,Pagos,Web,5.6,120.5,2,Media,María,Manual,3,4,2,3,-0.8253470831984301,0.283395527190437,2.1361913525202523,1,3,1,60.25,0.26046511627906976
PROC00050,2024-01-05 22:19:00,Facturación,Web,13.0,60.12,0,Urgente,María,Manual,0,4,3,3,-0.5794404451154624,-0.5732969798892601,-0.7128235214731489,1,4,1,0.0,0.6046511627906976
PROC00051,2024-01-07 17:10:00,Facturación,Web,44.6,10.05,0,Baja,Juan,Manual,0,4,1,2,0.47064736075234526,-1.2837076097249744,-0.7128235214731489,1,6,1,0.0,2.074418604651163
PROC00052,2024-01-01 12:55:00,Soporte,Email,0.9,66.47,2,Media,Juan,Manual,4,1,2,2,-0.9815310290078825,-0.4832009643219186,2.1361913525202523,1,0,1,33.235,0.04186046511627907
PROC00053,2024-01-06 17:06:00,Pagos,Web,33.5,67.7,1,Media,Juan,Manual,3,4,2,2,0.10178740362789378,-0.46574929516478,0.7116839155235517,1,5,1,67.7,1.558139534883721
PROC00054,2024-01-03 04:32:00,Pagos,Web,50.8,186.99,0,Alta,Juan,Manual,3,4,0,2,0.6766772467137504,1.2267788460994973,-0.7128235214731489,1,2,1,0.0,2.3627906976744186
PROC00055,2024-01-02 02:25:00,Logística,Web,80.8,136.75,0,Baja,María,Manual,2,4,1,3,1.6735960497528082,0.5139561969493817,-0.7128235214731489,1,1,1,0.0,3.7581395348837208
PROC00056,2024-01-03 17:43:00,Soporte,Web,62.7,31.97,0,Urgente,María,Manual,4,4,3,3,1.0721217052525767,-0.9726990016562934,-0.7128235214731489,1,2,1,0.0,2.916279069767442
PROC00057,2024-01-06 05:55:00,Inventario,Web,11.5,6.95,0,Media,Juan,Automático,1,4,2,2,-0.6292863852674153,-1.3276914913405269,-0.7128235214731489,1,5,1,0.0,0.5348837209302325
PROC00058,2024-01-03 03:13:00,Logística,Manual,26.5,76.53,1,Media,Juan,Manual,2,2,2,2,-0.1308269837478864,-0.34046617430499654,0.7116839155235517,1,2,1,76.53,1.2325581395348837
PROC00059,2024-01-01 17:01:00,Pagos,API,2.4,53.36,1,Baja,Pedro,Manual,3,0,1,4,-0.9316850888559296,-0.669210218508981,0.7116839155235517,1,0,1,53.36,0.11162790697674418
PROC00060,2024-01-03 16:03:00,Pagos,Web,8.9,246.38,1,Alta,Ana,Manual,3,4,0,0,-0.7156860148641336,2.0694248877600336,0.7116839155235517,1,2,1,246.38,0.41395348837209306
PROC00061,2024-01-06 13:09:00,Pagos,API,3.0,190.92,0,Media,Pedro,Manual,3,0,2,4,-0.9117467127951484,1.282539057308891,-0.7128235214731489,1,5,1,0.0,0.13953488372093023
PROC00062,2024-01-07 17:32:00,Inventario,API,11.4,24.72,0,Media,Ana,Automático,1,0,2,0,-0.6326094479442121,-1.0755645312410533,-0.7128235214731489,1,6,1,0.0,0.5302325581395348
PROC00063,2024-01-05 18:33:00,Inventario,Web,62.4,133.87,0,Media,Juan,Manual,1,4,2,2,1.0621525172221862,0.47309375209364257,-0.7128235214731489,1,4,1,0.0,2.9023255813953486
PROC00064,2024-01-04 22:35:00,Pagos,Manual,12.8,119.35,1,Baja,Juan,Manual,3,2,1,2,-0.5860865704690561,0.2670789259459577,0.7116839155235517,1,3,1,119.35,0.5953488372093023
PROC00065,2024-01-01 02:41:00,Facturación,Manual,24.8,116.11,0,Baja,Sofia,Manual,0,2,1,5,-0.18731904925343298,0.2211086754832513,-0.7128235214731489,1,0,1,0.0,1.1534883720930234
PROC00066,2024-01-03 23:37:00,Inventario,Manual,17.0,407.51,1,Alta,Juan,Manual,1,2,0,2,-0.4465179380435881,4.355593547345188,0.7116839155235517,1,2,1,407.51,0.7906976744186046
PROC00067,2024-01-01 16:35:00,Facturación,Manual,18.4,78.51,0,Baja,Pedro,Manual,0,2,1,4,-0.3999950605684321,-0.3123732434666759,-0.7128235214731489,1,0,1,0.0,0.8558139534883721
PROC00068,2024-01-06 07:09:00,Inventario,Web,104.8,145.5,0,Alta,María,Manual,1,4,0,3,2.4711310921840544,0.6381042498965056,-0.7128235214731489,1,5,1,0.0,4.874418604651162
PROC00069,2024-01-07 13:47:00,Inventario,Sistema,10.5,159.86,1,Media,Ana,Manual,1,3,2,0,-0.6625170120353839,0.8418489402188717,0.7116839155235517,1,6,1,159.86,0.4883720930232558
PROC00070,2024-01-01 16:56:00,Inventario,Manual,29.6,109.14,0,Baja,Sofia,Manual,1,2,1,5,-0.027812040767183705,0.12221588359279939,-0.7128235214731489,1,0,1,0.0,1.3767441860465117
PROC00071,2024-01-06 11:09:00,Logística,Email,16.3,244.19,0,Media,Pedro,Manual,2,1,2,4,-0.46977937678116605,2.038352403650982,-0.7128235214731489,1,5,1,0.0,0.758139534883721
PROC00072,2024-01-05 11:19:00,Logística,Web,1.9,97.81,0,Media,Sofia,Manual,2,4,2,5,-0.948300402239914,-0.0385381095375909,-0.7128235214731489,1,4,1,0.0,0.08837209302325581
PROC00073,2024-01-06 11:32:00,Pagos,Email,20.2,154.1,0,Media,Juan,Manual,3,1,2,2,-0.34017993238608857,0.7601240505073932,-0.7128235214731489,1,5,1,0.0,0.9395348837209302
