id,fecha,tipo_proceso,canal,tiempo_ciclo,costo,errores,prioridad,responsable,etiqueta_clase
PROC00001,2024-01-06 01:10:00,Facturación,Email,32.6,107.6,0,Baja,Juan,Manual
PROC00002,2024-01-01 14:20:00,Pagos,API,13.9,185.2,0,Baja,María,Manual
PROC00003,2024-01-04 17:50:00,Inventario,Manual,31.2,135.73,0,Media,María,Manual
PROC00004,2024-01-04 14:31:00,Soporte,Email,13.2,24.82,0,Baja,Juan,Manual
PROC00005,2024-01-04 23:34:00,Logística,API,33.6,157.68,0,Alta,Ana,Manual
PROC00006,2024-01-05 08:25:00,Inventario,Sistema,39.2,18.76,0,Media,Juan,Manual
PROC00007,2024-01-01 07:46:00,Inventario,API,35.2,128.48,0,Baja,Carlos,Manual
PROC00008,2024-01-04 01:46:00,Soporte,API,3.6,270.56,0,Baja,Ana,Manual
PROC00009,2024-01-04 20:58:00,Facturación,Manual,32.1,129.27,0,Alta,María,Manual
PROC00010,2024-01-06 18:42:00,Facturación,Sistema,9.9,63.83,1,Alta,Juan,Manual
PROC00011,2024-01-02 04:05:00,Facturación,Web,0.9,264.43,1,Baja,Ana,Manual
PROC00012,2024-01-01 12:49:00,Facturación,Manual,16.1,96.37,2,Alta,Carlos,Manual
PROC00013,2024-01-05 19:49:00,Inventario,API,17.1,36.45,1,Media,Pedro,Manual
PROC00014,2024-01-02 16:33:00,Inventario,Web,18.9,49.03,0,Media,María,Automático
PROC00015,2024-01-04 16:31:00,Inventario,Manual,36.6,47.66,0,Alta,Ana,Manual
PROC00016,2024-01-04 12:11:00,Facturación,API,11.1,305.49,0,Baja,Sofia,Manual
PROC00017,2024-01-05 11:00:00,Inventario,Manual,11.4,127.73,0,Media,Ana,Manual
PROC00018,2024-01-01 19:44:00,Pagos,Web,1.9,130.98,0,Baja,Sofia,Manual
PROC00019,2024-01-04 03:55:00,Inventario,API,34.8,116.01,0,Baja,Ana,Manual
PROC00020,2024-01-03 08:25:00,Inventario,API,25.2,101.75,0,Baja,Juan,Manual
PROC00021,2024-01-05 10:36:00,Pagos,API,12.9,56.63,0,Baja,María,Manual
PROC00022,2024-01-07 00:26:00,Facturación,Web,36.6,29.07,1,Media,María,Manual
PROC00023,2024-01-07 10:34:00,Facturación,Sistema,23.1,108.7,0,Baja,Juan,Manual
PROC00024,2024-01-02 18:38:00,Logística,API,19.0,259.19,0,Media,Juan,Manual
PROC00025,2024-01-06 10:49:00,Soporte,Manual,21.5,104.68,0,Media,Sofia,Manual
PROC00026,2024-01-02 10:07:00,Inventario,API,30.3,198.11,1,Alta,Sofia,Manual
PROC00027,2024-01-02 21:47:00,Facturación,API,32.4,14.25,1,Media,Sofia,Manual
PROC00028,2024-01-07 08:47:00,Pagos,API,10.2,105.08,0,Urgente,Juan,Manual
PROC00029,2024-01-07 22:38:00,Inventario,API,4.6,53.66,2,Baja,Carlos,Manual
PROC00030,2024-01-01 03:09:00,Logística,API,5.1,34.72,0,Media,Ana,Automático
PROC00031,2024-01-02 21:34:00,Facturación,API,30.6,223.46,1,Baja,Carlos,Manual
PROC00032,2024-01-03 02:05:00,Facturación,API,61.9,59.64,0,Media,María,Manual
PROC00033,2024-01-04 05:38:00,Inventario,Web,15.8,127.54,0,Baja,Juan,Manual
PROC00034,2024-01-02 07:39:00,Pagos,API,5.6,76.9,0,Media,Ana,Manual
PROC00035,2024-01-06 08:54:00,Facturación,Web,42.4,24.74,1,Baja,Sofia,Manual
PROC00036,2024-01-01 21:07:00,Facturación,Web,53.6,140.33,1,Baja,Pedro,Manual
PROC00037,2024-01-02 01:28:00,Pagos,Email,63.8,63.18,0,Media,Ana,Manual
PROC00038,2024-01-03 11:16:00,Logística,API,28.0,155.3,1,Alta,Pedro,Manual
PROC00039,2024-01-03 16:50:00,Soporte,Manual,59.1,40.03,2,Baja,Ana,Manual
PROC00040,2024-01-07 03:18:00,Inventario,API,0.5,54.5,2,Alta,Juan,Manual
PROC00041,2024-01-04 17:53:00,Pagos,Email,3.4,124.16,0,Baja,Pedro,Manual
PROC00042,2024-01-07 02:32:00,Facturación,API,2.9,42.97,0,Media,Pedro,Automático
PROC00043,2024-01-06 20:33:00,Pagos,Manual,37.4,138.7,0,Urgente,María,Manual
PROC00044,2024-01-06 05:13:00,Pagos,API,2.2,11.15,1,Baja,Ana,Manual
PROC00045,2024-01-02 19:32:00,Inventario,Sistema,20.6,29.48,1,Media,Carlos,Manual
PROC00046,2024-01-05 21:21:00,Pagos,Manual,19.2,88.63,0,Baja,Sofia,Manual
PROC00047,2024-01-07 15:15:00,Facturación,Email,11.2,131.16,1,Baja,Carlos,Manual
PROC00048,2024-01-05 07:55:00,Facturación,Web,61.3,91.73,0,Alta,María,Manual
PROC00049,2024-01-04 19:26:00,Pagos,Web,5.6,120.5,2,Media,María,Manual
PROC00050,2024-01-05 22:19:00,Facturación,Web,13.0,60.12,0,Urgente,María,Manual
PROC00051,2024-01-07 17:10:00,Facturación,Web,44.6,10.05,0,Baja,Juan,Manual
PROC00052,2024-01-01 12:55:00,Soporte,Email,0.9,66.47,2,Media,Juan,Manual
PROC00053,2024-01-06 17:06:00,Pagos,Web,33.5,67.7,1,Media,Juan,Manual
PROC00054,2024-01-03 04:32:00,Pagos,Web,50.8,186.99,0,Alta,Juan,Manual
PROC00055,2024-01-02 02:25:00,Logística,Web,80.8,136.75,0,Baja,María,Manual
PROC00056,2024-01-03 17:43:00,Soporte,Web,62.7,31.97,0,Urgente,María,Manual
PROC00057,2024-01-06 05:55:00,Inventario,Web,11.5,6.95,0,Media,Juan,Automático
PROC00058,2024-01-03 03:13:00,Logística,Manual,26.5,76.53,1,Media,Juan,Manual
PROC00059,2024-01-01 17:01:00,Pagos,API,2.4,53.36,1,Baja,Pedro,Manual
PROC00060,2024-01-03 16:03:00,Pagos,Web,8.9,246.38,1,Alta,Ana,Manual
PROC00061,2024-01-06 13:09:00,Pagos,API,3.0,190.92,0,Media,Pedro,Manual
PROC00062,2024-01-07 17:32:00,Inventario,API,11.4,24.72,0,Media,Ana,Automático
PROC00063,2024-01-05 18:33:00,Inventario,Web,62.4,133.87,0,Media,Juan,Manual
PROC00064,2024-01-04 22:35:00,Pagos,Manual,12.8,119.35,1,Baja,Juan,Manual
PROC00065,2024-01-01 02:41:00,Facturación,Manual,24.8,116.11,0,Baja,Sofia,Manual
PROC00066,2024-01-03 23:37:00,Inventario,Manual,17.0,407.51,1,Alta,Juan,Manual
PROC00067,2024-01-01 16:35:00,Facturación,Manual,18.4,78.51,0,Baja,Pedro,Manual
PROC00068,2024-01-06 07:09:00,Inventario,Web,104.8,145.5,0,Alta,María,Manual
PROC00069,2024-01-07 13:47:00,Inventario,Sistema,10.5,159.86,1,Media,Ana,Manual
PROC00070,2024-01-01 16:56:00,Inventario,Manual,29.6,109.14,0,Baja,Sofia,Manual
PROC00071,2024-01-06 11:09:00,Logística,Email,16.3,244.19,0,Media,Pedro,Manual
PROC00072,2024-01-05 11:19:00,Logística,Web,1.9,97.81,0,Media,Sofia,Manual
PROC00073,2024-01-06 11:32:00,Pagos,Email,20.2,154.1,0,Media,Juan,Manual
PROC00074,2024-01-05 18:23:00,Inventario,Manual,50.4,47.5,0,Alta,María,Manual
PROC00075,2024-01-06 11:56:00,Inventario,Manual,3.1,29.26,3,Baja,Pedro,Revisión
PROC00076,2024-01-06 22:09:00,Facturación,Web,2.2,123.52,0,Alta,Ana,Manual
PROC00077,2024-01-01 14:38:00,Facturación,Manual,5.0,81.58,1,Media,Sofia,Manual
PROC00078,2024-01-07 10:28:00,Facturación,Sistema,43.4,85.21,1,Alta,Sofia,Manual
PROC00079,2024-01-04 09:27:00,Pagos,Manual,38.6,65.16,2,Baja,Sofia,Manual
PROC00080,2024-01-04 08:59:00,Inventario,API,25.0,151.76,0,Baja,Juan,Manual
PROC00081,2024-01-05 09:31:00,Logística,Email,18.9,96.5,0,Media,Ana,Manual
PROC00082,2024-01-06 22:51:00,Facturación,API,65.8,330.37,0,Baja,Sofia,Manual
PROC00083,2024-01-07 00:44:00,Facturación,API,43.7,94.14,0,Urgente,Juan,Manual
PROC00084,2024-01-06 00:08:00,Soporte,API,50.1,112.99,1,Baja,Juan,Manual
PROC00085,2024-01-04 15:56:00,Facturación,Email,50.3,164.98,0,Baja,Carlos,Manual
PROC00086,2024-01-02 10:22:00,Pagos,Web,30.9,122.91,0,Baja,Ana,Manual
PROC00087,2024-01-01 01:04:00,Inventario,API,18.4,30.52,0,Baja,María,Automático
PROC00088,2024-01-06 13:26:00,Pagos,Manual,60.0,72.58,0,Media,Juan,Manual
PROC00089,2024-01-02 18:48:00,Facturación,Manual,78.1,44.72,2,Media,María,Manual
PROC00090,2024-01-04 19:03:00,Facturación,API,0.7,118.41,0,Baja,Pedro,Manual
PROC00091,2024-01-02 09:47:00,Facturación,Email,1.6,103.29,1,Baja,Juan,Manual
PROC00092,2024-01-02 20:55:00,Inventario,Email,95.6,157.98,0,Baja,Sofia,Manual
PROC00093,2024-01-07 17:27:00,Pagos,Web,9.7,173.02,1,Baja,Juan,Manual
PROC00094,2024-01-04 15:38:00,Facturación,API,62.0,44.67,0,Media,Sofia,Manual
PROC00095,2024-01-04 21:38:00,Inventario,Web,14.8,170.65,1,Alta,Juan,Manual
PROC00096,2024-01-05 16:16:00,Logística,Web,3.8,188.92,1,Alta,Sofia,Manual
PROC00097,2024-01-01 06:31:00,Facturación,API,2.5,36.76,1,Urgente,María,Manual
PROC00098,2024-01-05 02:12:00,Pagos,Email,5.1,113.12,0,Alta,Carlos,Manual
PROC00099,2024-01-03 11:21:00,Inventario,Manual,8.6,212.89,2,Media,Ana,Manual
PROC00100,2024-01-05 07:04:00,Facturación,Web,20.1,71.66,1,Media,Juan,Manual
PROC00101,2024-01-03 03:39:00,Pagos,Web,36.3,85.6,1,Alta,Ana,Manual
PROC00102,2024-01-05 08:38:00,Inventario,API,128.9,112.6,0,Media,Sofia,Manual
PROC00103,2024-01-06 19:52:00,Logística,API,17.5,95.17,0,Baja,Ana,Manual
PROC00104,2024-01-03 03:44:00,Logística,Web,21.9,99.84,0,Media,Sofia,Manual
PROC00105,2024-01-06 00:15:00,Inventario,Email,22.1,134.86,1,Urgente,Ana,Manual
PROC00106,2024-01-02 16:54:00,Inventario,Email,23.3,138.65,1,Alta,Sofia,Manual
PROC00107,2024-01-07 05:56:00,Pagos,API,21.9,83.32,1,Baja,María,Manual
PROC00108,2024-01-02 21:31:00,Inventario,Email,0.3,260.75,2,Urgente,Sofia,Manual
PROC00109,2024-01-06 15:54:00,Pagos,API,0.1,44.54,0,Urgente,Ana,Automático
PROC00110,2024-01-07 18:42:00,Facturación,Manual,3.1,154.69,1,Baja,Pedro,Manual
PROC00111,2024-01-04 12:16:00,Inventario,API,3.2,7.41,1,Alta,Sofia,Manual
PROC00112,2024-01-06 15:10:00,Inventario,Web,36.6,90.12,1,Alta,María,Manual
PROC00113,2024-01-03 16:00:00,Pagos,Email,6.9,5.59,0,Baja,María,Manual
PROC00114,2024-01-01 17:08:00,Soporte,API,67.5,94.78,1,Media,Pedro,Manual
PROC00115,2024-01-06 03:05:00,Facturación,Manual,79.2,121.76,1,Baja,Carlos,Manual
PROC00116,2024-01-01 08:22:00,Pagos,API,111.8,66.61,0,Media,Carlos,Manual
PROC00117,2024-01-05 19:10:00,Facturación,Web,83.9,88.09,0,Alta,Sofia,Manual
PROC00118,2024-01-07 07:02:00,Logística,Web,9.5,145.88,1,Media,Juan,Manual
PROC00119,2024-01-05 19:38:00,Inventario,API,21.4,0.68,0,Media,Carlos,Manual
PROC00120,2024-01-04 02:48:00,Pagos,Manual,5.8,57.67,2,Alta,Juan,Manual
PROC00121,2024-01-01 03:26:00,Inventario,Web,49.2,217.21,0,Urgente,Ana,Manual
PROC00122,2024-01-04 13:34:00,Pagos,Manual,65.8,29.8,1,Baja,Juan,Manual
PROC00123,2024-01-05 03:37:00,Logística,Manual,57.2,49.32,2,Alta,Carlos,Manual
PROC00124,2024-01-06 08:41:00,Pagos,Manual,17.0,10.75,0,Baja,Juan,Manual
PROC00125,2024-01-05 21:15:00,Pagos,API,42.6,58.12,1,Baja,María,Manual
PROC00126,2024-01-02 00:44:00,Soporte,Email,3.1,79.99,1,Alta,Carlos,Manual
PROC00127,2024-01-06 10:58:00,Facturación,API,1.2,397.74,1,Alta,Juan,Manual
PROC00128,2024-01-01 14:23:00,Facturación,API,42.0,116.2,0,Media,Carlos,Manual
PROC00129,2024-01-02 22:30:00,Inventario,Web,16.6,60.46,0,Baja,Pedro,Manual
PROC00130,2024-01-06 03:28:00,Soporte,Web,162.4,19.12,0,Baja,Carlos,Manual
PROC00131,2024-01-07 01:55:00,Pagos,Web,3.1,49.68,0,Alta,Pedro,Automático
PROC00132,2024-01-04 13:16:00,Facturación,API,58.1,41.33,0,Baja,Juan,Manual
PROC00133,2024-01-05 04:19:00,Pagos,Web,19.6,8.44,0,Baja,Pedro,Automático
PROC00134,2024-01-02 05:17:00,Pagos,Web,52.7,28.87,1,Alta,Carlos,Manual
PROC00135,2024-01-06 06:14:00,Facturación,Manual,51.0,62.15,1,Media,María,Manual
PROC00136,2024-01-05 10:14:00,Inventario,Web,74.3,69.94,0,Baja,Pedro,Manual
PROC00137,2024-01-05 18:52:00,Soporte,Web,10.6,144.05,0,Baja,Carlos,Manual
PROC00138,2024-01-02 03:58:00,Pagos,Web,89.8,223.91,1,Alta,María,Manual
PROC00139,2024-01-03 06:02:00,Pagos,Manual,4.9,68.68,0,Urgente,Ana,Manual
PROC00140,2024-01-04 05:16:00,Pagos,Web,2.6,158.35,0,Baja,Sofia,Manual
PROC00141,2024-01-01 17:39:00,Facturación,API,16.9,60.54,0,Media,Pedro,Manual
PROC00142,2024-01-05 15:08:00,Logística,API,52.9,38.12,0,Baja,Pedro,Manual
PROC00143,2024-01-07 21:14:00,Pagos,Manual,19.2,138.99,0,Alta,Juan,Manual
PROC00144,2024-01-03 04:37:00,Pagos,API,53.0,59.69,0,Baja,Ana,Manual
PROC00145,2024-01-05 02:35:00,Inventario,Manual,39.2,42.89,1,Media,Juan,Manual
PROC00146,2024-01-07 19:09:00,Pagos,Web,7.0,36.41,0,Media,Juan,Automático
PROC00147,2024-01-02 20:53:00,Inventario,Web,89.2,16.56,0,Media,Carlos,Manual
PROC00148,2024-01-03 12:27:00,Facturación,Web,1.9,87.9,0,Alta,Juan,Manual
PROC00149,2024-01-07 15:15:00,Logística,Web,68.6,51.75,0,Media,Pedro,Manual
PROC00150,2024-01-04 18:50:00,Soporte,Web,10.9,162.56,1,Alta,Juan,Manual
PROC00151,2024-01-02 03:43:00,Inventario,Web,20.8,263.68,0,Baja,María,Manual
PROC00152,2024-01-07 18:01:00,Soporte,API,16.5,36.21,0,Baja,Pedro,Automático
PROC00153,2024-01-04 21:12:00,Facturación,Manual,5.7,23.08,0,Media,Sofia,Manual
PROC00154,2024-01-06 03:12:00,Pagos,API,13.3,228.43,0,Media,Carlos,Manual
PROC00155,2024-01-01 21:46:00,Inventario,Manual,6.4,94.87,2,Media,Juan,Manual
PROC00156,2024-01-05 16:56:00,Inventario,Web,6.8,92.26,1,Alta,María,Manual
PROC00157,2024-01-05 01:44:00,Pagos,Web,6.2,108.7,0,Media,Sofia,Manual
PROC00158,2024-01-07 13:54:00,Pagos,API,20.1,182.6,0,Alta,María,Manual
PROC00159,2024-01-06 05:26:00,Facturación,Web,48.0,181.73,0,Media,Pedro,Manual
PROC00160,2024-01-07 04:21:00,Pagos,Web,25.2,134.35,2,Baja,Juan,Manual
PROC00161,2024-01-04 20:55:00,Facturación,API,67.1,29.62,0,Baja,María,Manual
PROC00162,2024-01-04 20:10:00,Inventario,Email,30.4,12.88,1,Alta,Juan,Manual
PROC00163,2024-01-04 01:33:00,Facturación,Manual,35.1,29.89,0,Baja,Pedro,Manual
PROC00164,2024-01-03 14:28:00,Facturación,Web,33.0,18.01,0,Baja,Ana,Manual
PROC00165,2024-01-01 11:03:00,Inventario,Manual,17.9,145.91,1,Baja,María,Manual
PROC00166,2024-01-02 09:18:00,Inventario,Manual,35.1,48.72,1,Media,Carlos,Manual
PROC00167,2024-01-06 13:14:00,Logística,API,2.2,132.3,0,Media,Juan,Manual
PROC00168,2024-01-02 00:55:00,Inventario,Manual,59.0,84.48,2,Baja,Sofia,Manual
PROC00169,2024-01-03 07:04:00,Pagos,API,45.1,48.09,0,Media,Pedro,Manual
PROC00170,2024-01-03 14:43:00,Logística,Web,8.4,36.86,3,Baja,Pedro,Revisión
PROC00171,2024-01-04 15:12:00,Pagos,API,43.8,45.14,1,Alta,Sofia,Manual
PROC00172,2024-01-02 06:53:00,Facturación,API,0.4,23.43,1,Alta,Carlos,Manual
PROC00173,2024-01-05 13:45:00,Inventario,API,7.3,268.54,1,Media,Ana,Manual
PROC00174,2024-01-01 21:31:00,Soporte,API,2.0,77.22,1,Media,Juan,Manual
PROC00175,2024-01-03 11:41:00,Pagos,Email,45.5,84.58,0,Baja,Ana,Manual
PROC00176,2024-01-06 05:54:00,Facturación,Email,42.3,82.82,1,Alta,Pedro,Manual
PROC00177,2024-01-06 01:20:00,Facturación,Email,50.4,143.3,0,Baja,María,Manual
PROC00178,2024-01-02 03:16:00,Facturación,Manual,0.1,41.47,1,Baja,Ana,Manual
PROC00179,2024-01-03 13:36:00,Pagos,Email,20.9,189.11,1,Alta,María,Manual
PROC00180,2024-01-01 11:38:00,Inventario,Web,36.6,64.61,1,Urgente,Carlos,Manual
PROC00181,2024-01-04 06:57:00,Facturación,Web,5.1,62.51,2,Alta,Pedro,Manual
PROC00182,2024-01-01 14:14:00,Soporte,API,31.5,209.58,1,Urgente,María,Manual
PROC00183,2024-01-06 16:04:00,Logística,Manual,2.6,40.88,0,Alta,Juan,Manual
