id,fecha,tipo_proceso,canal,tiempo_ciclo,costo,errores,prioridad,responsable,etiqueta_clase
20001,2024-01-03 15:50:00,Logística,WhatsApp,42.8,136.43,0,Baja,Pedro,Manual
20002,2024-01-06 13:37:00,Soporte,WhatsApp,39.4,32.1,0,Media,Ana,Manual
20003,2024-01-01 04:09:00,Inventario,WhatsApp,88.1,177.03,2,Baja,Carlos,Manual
20004,2024-01-03 04:01:00,Inventario,WhatsApp,42.8,22.69,1,Baja,Carlos,Manual
20005,2024-01-07 17:27:00,Pagos,WhatsApp,9.7,173.02,1,Baja,Juan,Manual
20006,2024-01-03 04:43:00,Pagos,WhatsApp,11.4,208.88,0,Baja,Pedro,Manual
20007,2024-01-02 21:34:00,Facturación,WhatsApp,30.6,223.46,1,Baja,Carlos,Manual
20008,2024-01-01 21:14:00,Fraude,Web,48.3,157.0,0,Media,Ana,Manual
20009,2024-01-07 08:11:00,Fraude,Web,28.1,65.96,1,Baja,Carlos,Manual
20010,2024-01-07 21:51:00,Fraude,Manual,109.4,87.46,0,Media,María,Manual
20011,2024-01-03 02:05:00,Fraude,API,61.9,59.64,0,Media,María,Manual
20012,2024-01-07 00:22:00,Fraude,Manual,23.9,32.09,0,Baja,Pedro,Manual
20013,2024-01-05 14:14:00,Fraude,Web,2.5,75.73,0,Baja,Pedro,Manual
20014,2024-01-05 23:11:00,Fraude,API,0.1,9.45,0,Alta,Sofia,Automático
20015,2024-01-02 11:30:00,Inventario,Web,44.9,44.96,1,Crítica,Sofia,Manual
20016,2024-01-04 11:49:00,Facturación,Manual,13.1,61.67,2,Crítica,Pedro,Manual
20017,2024-01-01 09:53:00,Pagos,API,21.4,33.79,1,Crítica,Ana,Manual
20018,2024-01-04 01:42:00,Inventario,Web,2.3,118.33,0,Media,BOT_X,Manual
20019,2024-01-04 10:59:00,Inventario,Web,10.4,34.67,0,Baja,BOT_X,Automático
20020,2024-01-04 12:07:00,Pagos,Sistema,21.0,72.5,0,Baja,BOT_X,Manual
